city,floorPrice,name,province,region,source,type
徐汇区,140.776,上海数字世纪网络有限公司20%股权,上海,,上海联合产权交易所,零售业
浦东新区,25.678667,上海城烁品牌管理有限公司30%股权,上海,,上海联合产权交易所,商务服务业
崇明区,580.0,上海信仁中药制药有限公司30%股权及转让方对标的企业的250万元债权,上海,,上海联合产权交易所,医药制造业
三门峡市,0.0001,义马金裕机械有限责任公司78.0667%股权,河南省,义马市,上海联合产权交易所,其他制造业
保山市,316.75,腾冲民生村镇银行股份有限公司5%股权,云南省,,上海联合产权交易所,货币金融服务
普陀区,415.8,长江国际拍卖有限公司20%股权,上海,,上海联合产权交易所,其他金融业
奉贤区,816.2499,上海怡旗电子科技有限公司51%股权,上海,,上海联合产权交易所,科技推广和应用服务业
崇明区,208.0,上海壹亩田实业有限公司10%股权,上海,,上海联合产权交易所,科技推广和应用服务业
昆明市,100.0,云南世博汽车市场有限公司5%股权,云南省,,上海联合产权交易所,批发业
大理白族自治州,15507.14,大理华侨城杨丽萍大剧院有限公司95%股权,云南省,,上海联合产权交易所,商务服务业
福州市,13197.0,福州东泽医疗器械有限公司21.2858%股权,福建省,马尾区,上海联合产权交易所,医药制造业
昆明市,6168.11,云南滇游君信股权投资基金合伙企业（有限合伙）98.77%出资份额,云南省,西山区,上海联合产权交易所,商务服务业
浦东新区,33691.41081,芯鑫融资租赁有限责任公司2.7%股权,上海,,上海联合产权交易所,其他金融业
浦东新区,300103.122215,芯鑫融资租赁有限责任公司24.05%股权,上海,,上海联合产权交易所,其他金融业
杨浦区,77100.0,上海康州房地产开发有限公司36%股权,上海,,上海联合产权交易所,房地产业
淄博市,80.0,淄博中海农业开发有限公司100%股权,山东省,,上海联合产权交易所,农业
静安区,870.3643720000001,上海天圣种业发展有限公司66.66%股权,上海,,上海联合产权交易所,批发业
徐州市,8840.0,江苏南瑞银龙电缆有限公司60%股权,江苏省,,上海联合产权交易所,电气机械和器材制造业
淮安市,13217.0,江苏南瑞淮胜电缆有限公司60%股权,江苏省,清江浦区,上海联合产权交易所,电气机械和器材制造业
松江区,115.837852,瑞必科净化设备（上海）有限公司2.1061%股权,上海,,上海联合产权交易所,专业技术服务业
丽江市,341.96,丽江丽美旅行社有限公司97.67%股权,云南省,,上海联合产权交易所,商务服务业
浦东新区,4745.807493,上海山铝工贸有限公司100%股权及转让方对标的企业261.977493万元债权,上海,,上海联合产权交易所,商务服务业
丽江市,7.86,丽江华世文旅（集团）有限公司19.30%股权,云南省,古城区,上海联合产权交易所,商务服务业
普陀区,33.796634999999995,上海清水湾大酒店有限公司10%股权,上海,,上海联合产权交易所,餐饮业
苏州市,2021.840213,苏州工业园区联合储运有限公司67%股权,江苏省,吴中区,上海联合产权交易所,道路运输业
丽江市,501.64,丽江丽月旅行社有限公司99.33%股权,云南省,,上海联合产权交易所,商务服务业
丽江市,405.26,丽江丽彩旅行社有限公司97.67%股权,云南省,,上海联合产权交易所,商务服务业
青浦区,880.0,上海汇益控制系统股份有限公司375万股股份（占总股本的5%）,上海,,上海联合产权交易所,专业技术服务业
深圳市,389.504,深圳中核工程检测有限公司80%股权,广东省,南山区,上海联合产权交易所,专业技术服务业
浦东新区,22549.132742,芯鑫融资租赁有限责任公司1.80707%股权,上海,,上海联合产权交易所,其他金融业
静安区,3000.0,上海上大海润信息系统有限公司100%股权,上海,,上海联合产权交易所,软件和信息技术服务业
晋中市,5714.712,左权晋源矿业投资有限公司100%股权,山西省,,上海联合产权交易所,其他采矿业
武汉市,12746.72,湖北保利建筑工程有限公司100%股权,湖北省,武昌区,上海联合产权交易所,房屋建筑业
深圳市,2168.0,深圳市国电南思系统控制有限公司26.82%股权,广东省,南山区,上海联合产权交易所,计算机、通信和其他电子设备制造业
市辖区,326.421,天津银行股份有限公司46.8462万股股份（占总股本的0.01%）,天津,,上海联合产权交易所,货币金融服务
赤峰市,0.0001,敖汉旗中电惠德新能源有限公司50%股权,内蒙古自治区,,上海联合产权交易所,电力、热力生产和供应业
六盘水市,30.57552,贵州工信科贸有限责任公司16%股权,贵州省,盘州市,上海联合产权交易所,软件和信息技术服务业
市辖区,134.52,域兴泰科技发展（天津）有限公司40%股权,天津,,上海联合产权交易所,软件和信息技术服务业
宝山区,80.0632,上海长江力索船务代理有限公司58%股权,上海,,上海联合产权交易所,商务服务业
大连市,69360.0,光大冶金发展（大连）有限公司100%股权,辽宁省,,上海联合产权交易所,有色金属冶炼和压延加工业
浦东新区,16777.0,上海康桥高科创业发展有限公司6.67%股权,上海,,上海联合产权交易所,房地产业
沈阳市,62604.0,五矿地产（沈阳）有限公司100%股权,辽宁省,于洪区,上海联合产权交易所,房地产业
徐汇区,300.0,上海顺苍管理咨询有限责任公司100%股权,上海,,上海联合产权交易所,商务服务业
塔城地区,2225.64,新疆神州种业有限公司70%股权,新疆维吾尔自治区,,上海联合产权交易所,农、林、牧、渔服务业
汕头市,9824.63,汕头市中煤能源有限公司100％股权,广东省,龙湖区,上海联合产权交易所,批发业
杭州市,26000.0,建德新南北大酒店有限公司100%股权及转让方对建德新南北大酒店有限公司13952 万元债权,浙江省,建德市,上海联合产权交易所,住宿业
宝山区,1265.9669999999999,上海灵器工贸有限公司23.50%股权,上海,,上海联合产权交易所,批发业
徐汇区,13911.2,上海能曦实业有限公司100%股权及相关债权100万元,上海,,上海联合产权交易所,批发业
深圳市,28141.461,深圳市深国投实业发展有限公司100%股权,广东省,福田区,上海联合产权交易所,商务服务业
广州市,38599.97,大冶有色金属广州有限公司100%股权,广东省,,上海联合产权交易所,批发业
无锡市,2050.0,无锡锦荣大酒店有限公司25%股权,江苏省,梁溪区,上海联合产权交易所,餐饮业
闵行区,215.124033,上海安久生物科技有限公司20%股权,上海,,上海联合产权交易所,医药制造业
滁州市,19482.0,滁州康鑫健康产业发展有限公司51%股权,安徽省,,上海联合产权交易所,商务服务业
南昌市,3.0,南昌达瑞源信息服务有限公司100%股权,江西省,,上海联合产权交易所,商务服务业
杨浦区,16182.220691999999,上海光华如新信息科技股份有限公司9092.73万股股份（占总股本的79.7608%）,上海,,上海联合产权交易所,软件和信息技术服务业
南京市,158.0,江苏河海工程建设监理有限公司20%股权,江苏省,,上海联合产权交易所,水利管理业
杭州市,46432.587999999996,国网浙江综合能源服务有限公司 20%股权,浙江省,江干区,上海联合产权交易所,电力、热力生产和供应业
市辖区,46.2567,建新乐器有限公司33.33%股权,北京,,上海联合产权交易所,文教、工美、体育和娱乐用品制造业
宝山区,0.0001,上海宝信数字技术有限公司15%股权,上海,,上海联合产权交易所,软件和信息技术服务业
长沙市,25847.83,国网湖南综合能源服务有限公司20%股权,湖南省,岳麓区,上海联合产权交易所,科技推广和应用服务业
市辖区,1073.91,华润置地（北京）股份有限公司120万股股份（占总股本的0.0923%）,北京,,上海联合产权交易所,房地产业
沈阳市,1632.974,沈阳东洋异型管有限公司44.47%股权,辽宁省,,上海联合产权交易所,有色金属矿采选业
市辖区,2442.8,北京易华录国际技术有限公司31%股权,北京,,上海联合产权交易所,其他服务业
,12572.24,STAR EDUCATION INVESTMENT LIMITED 100%股权,境外,,上海联合产权交易所,教育
徐汇区,105614.235021,上海西岸华券企业发展有限公司50%股权及华鑫置业（集团）有限公司对上海西岸华券企业发展有限公司32056.409404万元债权,上海,,上海联合产权交易所,房地产业
深圳市,68294.47,深圳市信能物业管理有限公司100%股权,广东省,福田区,上海联合产权交易所,房地产业
浦东新区,46400.0,上海新光汽车电器有限公司80%股权,上海,,上海联合产权交易所,汽车制造业
南通市,30459.0,江南德瑞斯（南通）船用设备制造有限公司100%股权,江苏省,,上海联合产权交易所,铁路、船舶、航空航天和其他运输设备制造业
长沙市,0.0001,长沙宝盛钢材加工配送有限公司50%股权,湖南省,,上海联合产权交易所,其他制造业
市辖区,431.48,北京龙源开关设备有限责任公司3.43%股权,北京,,上海联合产权交易所,电力、热力生产和供应业
市辖区,1593.0,重庆程达置业有限公司18%股权,重庆,璧山区,上海联合产权交易所,房地产业
苏州市,6164.0032,苏州国家环保高新技术产业园发展有限公司32%股权,江苏省,,上海联合产权交易所,专业技术服务业
浦东新区,2993.397375,上海浦东新区亚联财小额贷款有限公司15%股权,上海,,上海联合产权交易所,其他金融业
徐汇区,2610.0,始达（上海）医药科技有限公司45%股权,上海,,上海联合产权交易所,专业技术服务业
浦东新区,182.16993300000001,亚联财信息咨询（上海）有限公司15%股权,上海,,上海联合产权交易所,商务服务业
襄阳市,15480.0,湖北际华置业有限公司90%股权及11151万元债权,湖北省,襄州区,上海联合产权交易所,房地产业
杨浦区,120.37,上海洲圣电力科技服务有限公司100%股权,上海,,上海联合产权交易所,电力、热力生产和供应业
静安区,698.88,上海信谊联合医药药材有限公司18.4%股权,上海,,上海联合产权交易所,批发业
黄浦区,5553.1,上海市电力工程建设监理有限公司37.368%股权,上海,,上海联合产权交易所,土木工程建筑业
成都市,26574.669,成都中达投资有限公司30%股权及转让方对标的企业17736.45万元债权,四川省,青羊区,上海联合产权交易所,房地产业
浦东新区,4568.4097200000015,上海惠源达纺织有限公司100%股权,上海,,上海联合产权交易所,纺织业
黄浦区,61000.0,上海金登置业管理有限公司100%股权及转让方对标的公司40591.053086万元债权,上海,,上海联合产权交易所,房地产业
闵行区,3425.0,上海申环加油站有限公司48%股权,上海,,上海联合产权交易所,零售业
徐汇区,87448.25,上海普天科创电子有限公司29.13%股权,上海,,上海联合产权交易所,计算机、通信和其他电子设备制造业
徐汇区,77661.74,上海普天科创电子有限公司25.87%股权,上海,,上海联合产权交易所,计算机、通信和其他电子设备制造业
威海市,103.38,山东新船重工船用钢质舾装件有限公司10%股权,山东省,,上海联合产权交易所,金属制品业
威海市,240.0,山东新船重工管舾装制作有限公司30%股权,山东省,,上海联合产权交易所,金属制品业
鞍山市,6535.0,鞍钢集团矿业设计研究院有限公司45%股权,辽宁省,,上海联合产权交易所,专业技术服务业
长春市,357.9827,长春华润万家物流配送有限公司4.27%股权,吉林省,,上海联合产权交易所,仓储业
市辖区,1837.5,重庆市城投标信科技有限责任公司30%股权,重庆,九龙坡区,上海联合产权交易所,软件和信息技术服务业
静安区,350.0,上海定山信息技术有限公司15%股权,上海,,上海联合产权交易所,专业技术服务业
贵阳市,1403.6031,贵州黎阳装备科技发展有限公司67%股权,贵州省,白云区,上海联合产权交易所,铁路、船舶、航空航天和其他运输设备制造业
静安区,641.344325,国泰君安投资管理股份有限公司513.0755万股股份（占总股本的0.3729%）,上海,,上海联合产权交易所,其他金融业
市辖区,5000.0,重庆金美电子技术有限公司100%股权,重庆,沙坪坝区,上海联合产权交易所,专业技术服务业
十堰市,1289.0085,东风特汽（十堰）客车有限公司15%股权,湖北省,,上海联合产权交易所,汽车制造业
市辖区,1600.0,重庆金美汽车电子有限公司100%股权,重庆,沙坪坝区,上海联合产权交易所,计算机、通信和其他电子设备制造业
太原市,36000.0,太原江铃动力有限责任公司60%股权,山西省,,上海联合产权交易所,汽车制造业
徐汇区,600.0,上海宏量投资管理有限公司100%股权,上海,,上海联合产权交易所,房地产业
昆明市,3740.0,云南翠湖商贸有限公司100%股权,云南省,,上海联合产权交易所,零售业
肇庆市,4691.36,中交（肇庆）投资发展有限公司66.67%股权,广东省,,上海联合产权交易所,其他服务业
迪庆藏族自治州,5.0,迪庆茶马古道旅行社有限责任公司45%股权,云南省,,上海联合产权交易所,商务服务业
杭州市,140.0,海安发展保险经纪有限责任公司2%股权及转让方对标的企业30万债权,浙江省,拱墅区,上海联合产权交易所,保险业
市辖区,300.0,北京康加科技有限公司3.23%股权,北京,,上海联合产权交易所,科技推广和应用服务业
浦东新区,720.0,上海神计信息系统工程有限公司9%股权,上海,,上海联合产权交易所,软件和信息技术服务业
长宁区,2684.09,上海京虹房地产开发经营有限公司100%股权,上海,,上海联合产权交易所,房地产业
市辖区,5560.0,大象慧云信息技术有限公司4%股权,北京,,上海联合产权交易所,软件和信息技术服务业
鄂尔多斯市,109865.72,内蒙古汇能大唐长滩煤炭有限责任公司40%股权,内蒙古自治区,,上海联合产权交易所,煤炭开采和洗选业
南京市,47098.653,南京康星科技产业园运营管理有限公司34%股权,江苏省,,上海联合产权交易所,商务服务业
武汉市,0.0001,武汉申隆牧业发展有限公司35%股权,湖北省,黄陂区,上海联合产权交易所,畜牧业
郑州市,87122.05,郑州天宏工业有限公司70%股权,河南省,,上海联合产权交易所,其他采矿业
哈尔滨市,6680.53,哈尔滨液化石油气有限公司100%股权,黑龙江省,香坊区,上海联合产权交易所,电力、热力生产和供应业
浦东新区,46.36,上海宝鼎投资股份有限公司4.6006万股股份（占总股本的0.0635%）,上海,,上海联合产权交易所,软件和信息技术服务业
市辖区,14000.0,北京吉芬时装设计股份有限公司1039.9667万股股份（占总股本的14.2857%）,北京,朝阳区,上海联合产权交易所,纺织服装、服饰业
